timestamp,product_id,product_category,warehouse_location,inventory_level,units_sold,unit_price,lead_time_days,restock_quantity,promotion_flag,temperature_celsius,humidity_percent,truck_arrival_delay_mins,demand_forecast
2024-01-01,P003,Apparel,WH05,242,35,440.6,10,125,1,34.34,36.32,31,30
2024-01-02,P008,Home Goods,WH01,471,30,498.8,8,115,1,15.0,69.94,28,34
2024-01-03,P006,Apparel,WH02,122,26,454.84,4,294,0,21.57,65.91,96,30
2024-01-04,P002,FMCG,WH02,274,35,437.41,1,111,0,22.44,75.36,70,37
2024-01-05,P002,Home Goods,WH02,119,31,280.21,2,123,0,17.42,43.7,24,27
2024-01-06,P005,Home Goods,WH04,391,29,232.88,3,91,1,23.76,34.13,58,33
2024-01-07,P009,Electronics,WH01,151,26,258.52,5,282,1,18.16,51.83,85,23
2024-01-08,P004,Home Goods,WH01,297,26,423.45,5,215,1,37.63,54.24,71,23
2024-01-09,P005,Electronics,WH04,102,26,438.18,1,243,0,18.61,77.06,3,30
2024-01-10,P009,Electronics,WH03,178,24,426.91,12,100,1,33.26,42.22,42,25
2024-01-11,P008,Home Goods,WH05,369,25,438.96,14,60,1,27.06,36.82,72,25
2024-01-12,P008,Apparel,WH03,411,29,78.41,4,205,0,34.42,55.54,66,29
2024-01-13,P008,Home Goods,WH05,193,29,230.51,4,34,1,26.8,37.57,102,33
2024-01-14,P005,Electronics,WH05,182,34,108.61,7,270,0,30.68,34.46,49,32
2024-01-15,P003,Apparel,WH04,110,27,100.7,12,225,0,36.17,71.31,102,30
2024-01-16,P004,Electronics,WH05,246,34,178.03,10,39,1,32.6,56.11,61,32
2024-01-17,P005,FMCG,WH01,212,34,158.21,4,124,0,28.14,60.32,65,36
2024-01-18,P009,Home Goods,WH03,250,28,360.5,8,247,1,19.62,54.37,50,29
2024-01-19,P006,Electronics,WH03,100,27,210.39,5,249,0,39.63,45.74,21,30
2024-01-20,P009,Apparel,WH05,244,18,188.35,13,271,1,22.71,70.91,14,22
2024-01-21,P004,Home Goods,WH05,396,28,125.75,10,99,1,18.9,74.52,37,28
2024-01-22,P005,Electronics,WH04,217,32,309.17,3,16,0,32.04,32.43,94,36
